parent,name,size,type
MAIN_PYTHON,MAIN_PYTHON_GB_HW_008,13484418,dir
MAIN_PYTHON_GB_HW_008,.git,71978,dir
.git,COMMIT_EDITMSG,11,file
.git,config,314,file
.git,description,73,file
.git,HEAD,21,file
.git,hooks,23513,dir
hooks,applypatch-msg.sample,478,file
hooks,commit-msg.sample,896,file
hooks,fsmonitor-watchman.sample,4726,file
hooks,post-update.sample,189,file
hooks,pre-applypatch.sample,424,file
hooks,pre-commit.sample,1643,file
hooks,pre-merge-commit.sample,416,file
hooks,pre-push.sample,1374,file
hooks,pre-rebase.sample,4898,file
hooks,pre-receive.sample,544,file
hooks,prepare-commit-msg.sample,1492,file
hooks,push-to-checkout.sample,2783,file
hooks,update.sample,3650,file
.git,index,2812,file
.git,info,240,dir
info,exclude,240,file
.git,logs,1145,dir
logs,HEAD,383,file
logs,refs,762,dir
refs,heads,383,dir
heads,main,383,file
refs,remotes,379,dir
remotes,origin,379,dir
origin,HEAD,216,file
origin,main,163,file
.git,objects,43625,dir
objects,01,238,dir
01,f87c1323b977a1f24d8dcfc744cfa1b6eb54d4,238,file
objects,08,202,dir
08,fe4fdc62eca386d4f2084f23bb14adbb4c4b91,202,file
objects,0e,343,dir
0e,fed1f92b91af039131f95d0da95a9544a1c8b3,343,file
objects,10,142,dir
10,5ce2da2d6447d11dfe32bfb846c3d5b199fc99,142,file
objects,13,141,dir
13,566b81b018ad684f3a35fee301741b2734c8f4,141,file
objects,15,36,dir
15,ad8284ce472f5d4169a3967c0ab1ce54b203e3,36,file
objects,17,382,dir
17,600a6b756effe7cff85d398e2487889f2bd58a,382,file
objects,29,1321,dir
29,78869a8ab8d2359ae0ff6a3ac9bc5033da13e2,1321,file
objects,2d,11666,dir
2d,cb2ec5f033ea6be6e5fd6f0520dce5a1982e7e,11666,file
objects,35,140,dir
35,eb1ddfbbc029bcab630581847471d7f238ec53,140,file
objects,3f,1245,dir
3f,ff6c7c93406a38c0ee364821147cf83aaf126c,1245,file
objects,42,1245,dir
42,ef10cc3d4e69b49944bd6fb2ceefa6bd5ffe62,1245,file
objects,45,26,dir
45,b15b3980db21e0f2197158afbba13ba7400a70,26,file
objects,58,255,dir
58,58895508e305b80931024c1b87aa864ac880e5,255,file
objects,5c,56,dir
5c,6c3b02166ecccdb1f752edf6e91353f760501c,56,file
objects,6e,189,dir
6e,d2bf9ed1da1f69aec1e1d9bd68419846c591d9,189,file
objects,74,235,dir
74,d515a027de98657e9d3d5f0f1831882fd81374,235,file
objects,7e,127,dir
7e,3294d4baa88a2625402267aabe58f3399760d3,127,file
objects,97,66,dir
97,824ec9b0149e48c91dce4fee530335b327c686,66,file
objects,b5,70,dir
b5,7793e0636704edc5cc39c7fa2b63b52f201c27,40,file
b5,c4a36dea2906bf00a7c06c50153b15b52ce244,30,file
objects,c4,186,dir
c4,98b83a60473d818791aaf85aa7431577149826,186,file
objects,ca,905,dir
ca,df79adbbe14b0326a68b48efc6f9d4d2cfa30b,905,file
objects,d0,513,dir
d0,c53b8907e4c8107cbd4ea5e6b6fa50f4509477,513,file
objects,de,171,dir
de,a7a424654188eee02b83e1572043f26d920a8d,171,file
objects,df,21,dir
df,8ee4d5ea94052f8e28cfa6c946ed21c27e3960,21,file
objects,e6,15,dir
e6,9de29bb2d1d6434b8b29ae775ad8c2e48c5391,15,file
objects,f9,19518,dir
f9,ecf467d964c779254c3aae62c0fad59786bc2f,19518,file
objects,info,0,dir
objects,pack,4171,dir
pack,pack-6e7b1bb42323718bf0760d3607a50e2381923ca4.idx,1212,file
pack,pack-6e7b1bb42323718bf0760d3607a50e2381923ca4.pack,2959,file
.git,packed-refs,112,file
.git,refs,112,dir
refs,heads,41,dir
heads,main,41,file
refs,remotes,71,dir
remotes,origin,71,dir
origin,HEAD,30,file
origin,main,41,file
refs,tags,0,dir
MAIN_PYTHON_GB_HW_008,.gitignore,3238,file
MAIN_PYTHON_GB_HW_008,.idea,10422,dir
.idea,.gitignore,184,file
.idea,inspectionProfiles,174,dir
inspectionProfiles,profiles_settings.xml,174,file
.idea,MAIN_PYTHON_GB_HW_008.iml,361,file
.idea,misc.xml,213,file
.idea,modules.xml,301,file
.idea,vcs.xml,225,file
.idea,workspace.xml,8964,file
MAIN_PYTHON_GB_HW_008,data_files,230,dir
data_files,data_files2,115,dir
data_files2,memory.txt,6,file
data_files2,picture.jpg,0,file
data_files2,picture.png,0,file
data_files2,table.csv,76,file
data_files2,table_2.csv,23,file
data_files2,text.txt,10,file
data_files,files_33,0,dir
files_33,picture.jpg,0,file
data_files,ory_fn_000.txt,6,file
data_files,picture.jpg,0,file
data_files,picture.png,0,file
data_files,table.csv,76,file
data_files,table_2.csv,23,file
data_files,t_fn_001.txt,10,file
MAIN_PYTHON_GB_HW_008,dirs,0,dir
MAIN_PYTHON_GB_HW_008,hw_pack,9209,dir
hw_pack,dir_info.py,3131,file
hw_pack,seminar_json.py,3377,file
hw_pack,__init__.py,0,file
hw_pack,__pycache__,2701,dir
__pycache__,dir_info.cpython-310.pyc,2540,file
__pycache__,__init__.cpython-310.pyc,161,file
MAIN_PYTHON_GB_HW_008,hw_serialize.py,725,file
MAIN_PYTHON_GB_HW_008,info.csv,36611,file
MAIN_PYTHON_GB_HW_008,info.json,268577,file
MAIN_PYTHON_GB_HW_008,info.pcl,40392,file
MAIN_PYTHON_GB_HW_008,LICENSE,1235,file
MAIN_PYTHON_GB_HW_008,README.md,1044,file
MAIN_PYTHON_GB_HW_008,venv,13040757,dir
venv,.gitignore,42,file
venv,Lib,11634009,dir
Lib,site-packages,11634009,dir
site-packages,distutils-precedence.pth,151,file
site-packages,pip,6847400,dir
pip,py.typed,286,file
pip,_internal,1035611,dir
